produit;categorie;quantite;prix_unitaire_ht;valeur_ht;fiabilite;page
Malongo Grain Kilo Select;boisson_sans_alcool;1;29.92;29.92;exact;2
Malongo Déca Moulu Aqua 250g;boisson_sans_alcool;1;9.78;9.78;exact;2
Thé Vert Menthe x25 sachets;boisson_sans_alcool;1;6.42;6.42;exact;2
Verveine Menthe x25 sachets;boisson_sans_alcool;1;7.22;7.22;exact;2
Earl Grey x25 sachets;boisson_sans_alcool;1;6.42;6.42;exact;2
Thé Fruits Rouges x25 sachets;boisson_sans_alcool;1;6.42;6.42;exact;2
Infusion Segafredo 20 sachets;boisson_sans_alcool;1;3.44;3.44;exact;2
Vittel 100cl;boisson_sans_alcool;25;0.86;21.50;exact;2
Vittel 50cl;boisson_sans_alcool;25;0.70;17.50;exact;2
La Bleue (eau) 50cl;boisson_sans_alcool;24;0.47;11.28;a_verifier;2
Rouget de Lisle Blanche 33cl;alcool;19;1.80;34.80;a_verifier;2
Rouget de Lisle Ambrée 33cl;alcool;22;1.87;41.14;exact;2
Fût Affligem Blade 8L 6,7°;alcool;32;4.23;135.36;a_verifier;2
Orangina 33cl;boisson_sans_alcool;50;0.61;30.50;exact;3
Fanta Citron Frappé 33cl;boisson_sans_alcool;26;0.73;18.98;exact;3
Schweppes Agrum 33cl;boisson_sans_alcool;52;0.64;33.28;exact;3
Limonade Mortuacienne 1L;boisson_sans_alcool;15;0.96;14.40;exact;3
Granini Jus Pomme 1L;boisson_sans_alcool;6;2.80;16.80;a_verifier;3
Granini Jus Orange 1L;boisson_sans_alcool;5;3.38;16.90;exact;3
Granini Jus Ananas 1L;boisson_sans_alcool;10;3.39;33.90;exact;3
Norbert Jus Orange sans pulpe 1L;boisson_sans_alcool;2;2.53;5.06;exact;3
Granini Fraise 25cl;boisson_sans_alcool;48;1.22;58.56;exact;3
Granini Jus de Tomate 25cl;boisson_sans_alcool;23;1.22;28.06;a_verifier;3
Coca-Cola 33cl;boisson_sans_alcool;116;0.62;71.92;a_verifier;3
Fuzetea Pêche 33cl;boisson_sans_alcool;39;0.73;28.47;exact;3
Pulco Citron 70cl;boisson_sans_alcool;1;4.84;4.84;exact;3
Monin Pêche 100cl;boisson_sans_alcool;2;6.11;12.22;exact;3
Monin Cerise 100cl;boisson_sans_alcool;1;6.36;6.36;exact;3
Monin Menthe Verte 100cl;boisson_sans_alcool;2;4.32;8.64;exact;3
Monin Châtaigne 100cl;boisson_sans_alcool;1;5.61;5.61;exact;3
Monin Framboise 100cl;boisson_sans_alcool;3;6.36;19.08;exact;3
Jus de Poire 100cl;boisson_sans_alcool;13;4.10;53.30;exact;3
Monin Pamplemousse Rose 70cl;boisson_sans_alcool;3;5.61;16.83;exact;4
Cidre La Mordue Original 27cl;alcool;19;1.17;22.23;exact;4
Cidre Brut Bolée d'Armorique 75cl;alcool;15;2.75;41.25;exact;4
Cidre Doux Contemporaine 75cl;alcool;16;2.89;46.24;exact;4
Pontarlier Anis Sec 100cl 45°;alcool;2;18.85;37.70;exact;4
Ricard 100cl 45°;alcool;1;17.95;17.95;exact;4
Pastis 51 100cl 45°;alcool;1;16.44;16.44;exact;4
Macvin Blanc 75cl 18° (Rolet);alcool;9;15.63;140.67;exact;4
Macvin du Jura Rosé 75cl (Arbois);alcool;0;15.38;0;exact;4
Marc du Jura Tissot 70cl;alcool;3;19.48;58.44;exact;4
Martini Bianco 100cl 14,4°;alcool;2;8.17;16.34;exact;4
Porto Sandeman Rouge 75cl 19,5°;alcool;4;8.03;32.12;exact;4
Vert Sapin 40° 100cl;alcool;1;21.36;21.36;exact;4
Grand Marnier Cordon Rouge 70cl 40°;alcool;1;21.79;21.79;exact;4
Crème Cassis 15° 100cl Massenez;alcool;3;9.00;27.00;exact;4
Crème Mûre 15° 100cl Massenez;alcool;2;9.27;18.54;exact;4
Liqueur Golden Eight Poire William 70cl 25°;alcool;2;17.11;34.22;exact;4
Crème Cassis Briottet 20° 70cl;alcool;1;9.03;9.03;exact;4
Calvados Beaujour 100cl 40°;alcool;2;16.77;33.54;exact;5
Mirabelle Grande Réserve 1811 70cl 42°;alcool;1;20.65;20.65;exact;5
Framboise Sauvage 70cl 40° (Massenez);alcool;2;22.88;45.76;exact;5
Aperol 100cl 12,5°;alcool;2;14.66;29.32;exact;5
Soho Litchi 70cl 15°;alcool;1;10.44;10.44;exact;5
Passoa 70cl 15°;alcool;2;9.89;19.78;a_verifier;5
Bailey's 70cl 17°;alcool;1;13.46;13.46;exact;5
Get 27 Vert 100cl 17,9°;alcool;1;15.36;15.36;a_verifier;5
Get 31 100cl 24°;alcool;1;17.26;17.26;exact;5
Génépi 40° 70cl;alcool;1;23.51;23.51;exact;5
Ravelin Blanc MVPCE 13° 99cl (A.Bonnot);alcool;12;3.29;39.48;exact;5
Ravelin Blanc BIB 10L 13° (A.Bonnot);alcool;1;27.40;27.40;exact;5
Bourgogne Aligoté BIB 10L;alcool;3;54.29;162.87;exact;5
Côtes de Provence Rosé BIB 10L;alcool;3;52.75;158.25;exact;5
Côtes du Rhône Rouge BIB 10L;alcool;1;30.38;30.38;exact;5
Gewurztraminer Les Sorcières 75cl 2018;alcool;11;9.97;109.67;exact;5
Saint Joseph Rouge 75cl 2022 (Ogier);alcool;3;13.80;41.40;exact;5
Moulin à Vent 75cl 2017 (Briante);alcool;9;10.88;97.92;exact;5
Macon Roche Blanche 75cl 2021;alcool;16;8.73;139.68;exact;6
Chablis Saint Martin 75cl 2022 (Laroche);alcool;13;12.97;168.61;exact;6
Petit Chablis 75cl 2021 (Louis Moreau);alcool;1;11.01;11.01;exact;6
Saint Véran 75cl 2020 (Lupé Cholet);alcool;11;17.03;187.33;exact;6
Sauternes 75cl 2015 (Suduiraut);alcool;1;12.81;12.81;exact;6
Grand Pavois N°8 Blanc 75cl;alcool;8;5.23;41.84;exact;6
Arbois Trousseau 75cl 2022 (J-L Tissot);alcool;7;10.73;75.11;exact;6
Arbois Blanc Cuvée Béthanie 75cl 2018;alcool;15;10.88;163.20;exact;6
Vin de Paille 37,5cl 2017;alcool;4;16.61;66.44;exact;6
Arbois Savagnin 75cl 2018;alcool;8;11.85;94.80;exact;6
Arbois Blanc Cuvée Béthanie 37,5cl;alcool;20;6.72;134.40;exact;6
Arbois Chardonnay 75cl 2020 (J-L Tissot);alcool;20;7.96;159.20;exact;6
Arbois Vin Jaune 62cl 2016 (J-L Tissot);alcool;2;29.70;59.40;exact;6
Arbois Vin Jaune 62cl 2017 (J-L Tissot);alcool;3;29.70;89.10;a_verifier;6
Rosé Le Pive 2022 75cl;alcool;3;6.35;19.05;exact;6
Rosé Les Jamelles 75cl 2022;alcool;16;5.21;83.36;exact;6
Côtes de Provence Rosé Minuty 75cl 2022;alcool;12;13.21;158.52;exact;6
La Côte Rouge 75cl 2021 (La Clape);alcool;5;8.06;40.30;exact;6
Champagne Ruinart 75cl;alcool;1;44.63;44.63;exact;7
Champagne Lanson Black Label 75cl;alcool;8;24.35;194.80;exact;7
Champagne Jean Sandrin Brut 75cl;alcool;9;16.55;148.95;exact;7
Crémant du Jura Blanc 75cl (Arbois);alcool;19;9.01;171.19;a_verifier;7
