Date;N° ticket;Taux TVA (%);Colonne « base HT » du fichier (BUGGEE);TVA reellement encaissee (CORRECTE);TTC du ticket
2022-04-14;1;10;57,40;6,13;67,40
2022-04-14;2;20;-14,80;0,87;20,90
2022-04-14;2;10;5,70;1,43;20,90
2022-04-14;3;20;1,70;3,62;61,40
2022-04-14;3;10;29,70;3,61;61,40
2022-04-14;5;20;-12,10;1,32;23,80
2022-04-14;5;10;5,90;1,45;23,80
2022-04-14;4;20;-12,10;1,32;23,80
2022-04-14;4;10;5,90;1,45;23,80
2022-04-14;6;10;23,00;3,00;33,00
2022-04-14;10;20;-5,70;2,38;52,20
2022-04-14;10;10;27,90;3,45;52,20
2022-04-14;7;20;-10,20;1,63;59,40
2022-04-14;7;10;39,60;4,51;59,40
2022-04-14;9;10;9,90;1,81;19,90
2022-04-14;8;10;9,90;1,81;19,90
2022-04-14;12;20;-15,60;0,73;29,35
2022-04-14;12;10;14,95;2,27;29,35
2022-04-14;11;20;-15,60;0,73;29,35
2022-04-14;11;10;14,95;2,27;29,35
2022-04-14;14;20;-13,00;1,17;26,45
2022-04-14;14;10;9,45;1,77;26,45
2022-04-14;13;20;-13,00;1,17;26,45
2022-04-14;13;10;9,45;1,77;26,45
