Boisson;Famille;Achats nets L;Vendu au verre;Cocktails;Cuisine/menus;Crémant;Sur-versement;Dégustation;Freinte bière;Chef;Stock final;Résidu L;% des achats;Prix achat EUR/L;Coût du résidu EUR;Prix revente EUR/L
Fût Affligem;Bière;2096.0;996.87;208.14;0.0;0.0;0.0;0.0;120.5;0.0;40.0;730.49;34.9;3.95;2885.44;15.6
Côtes de Provence rosé maison (Cap des Pins);Rosé;681.0;456.25;6.4;0.0;0.0;15.93;0.0;0.0;0.0;0.0;202.42;29.7;5.24;1060.68;26.0
Rosé Les Jamelles (Clair de Rosé);Rosé;302.2;97.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;192.32;63.6;8.58;1650.11;24.0
Saint Véran;Vin blanc;465.0;245.43;0.0;0.0;0.0;29.01;15.3;0.0;0.0;5.25;170.01;36.6;12.73;2164.23;52.67
Arbois Chardonnay;Vin blanc;201.7;32.63;0.0;0.0;0.0;7.71;4.66;0.0;0.0;12.0;144.7;71.7;10.37;1500.54;33.2
Cidre La Mordue;Cidre;237.9;92.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.86;140.56;59.1;4.32;607.22;14.55
Macvin;Vin de liqueur;806.2;65.49;227.78;177.51;0.0;111.12;0.0;0.0;99.3;0.0;125.0;15.5;18.15;2268.75;81.67
Bourgogne Aligoté maison;Vin blanc;630.0;340.55;137.59;0.0;0.0;70.01;11.76;0.0;0.0;0.0;70.09;11.1;5.3;371.48;26.0
Moulin à Vent;Vin rouge;201.8;103.75;0.0;0.0;0.0;13.28;8.92;0.0;0.0;7.5;68.35;33.9;15.31;1046.44;38.67
Ravelin;Vin (couleur non précisée);319.5;0.0;0.0;251.8;0.0;0.0;0.0;0.0;0.0;0.0;67.7;21.2;2.96;200.39;
Arbois Trousseau;Vin rouge;462.7;346.08;0.0;0.0;0.0;30.72;18.92;0.0;0.0;6.0;60.98;13.2;13.54;825.67;42.67
Rouget de Lisle Blanche 33cl;Bière;195.3;136.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.97;55.88;28.6;5.31;296.72;17.88
Saint Joseph Rouge;Vin rouge;238.5;165.15;0.0;0.0;0.0;12.69;1.8;0.0;0.0;6.75;52.11;21.8;17.96;935.9;48.0
Arbois Vin Jaune;Vin (couleur non précisée);218.5;37.44;0.0;124.48;0.0;8.83;0.0;0.0;0.0;1.24;46.51;21.3;35.55;1653.43;100.0
Rouget de Lisle Ambrée 33cl;Bière;182.2;127.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.91;45.58;25.0;5.45;248.41;17.88
Cidre Brut;Cidre;184.5;125.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.5;42.75;23.2;5.1;218.02;18.67
Crème de Cassis;Liqueur;132.7;0.0;50.38;18.67;0.0;21.16;0.0;0.0;0.0;0.0;42.49;32.0;9.19;390.48;
Porto;Apéritif;114.8;7.77;0.0;68.27;0.0;1.55;0.0;0.0;0.0;1.5;35.71;31.1;10.83;386.74;63.33
Côtes du Rhône rouge maison (Chusclan);Vin rouge;360.0;310.48;0.0;0.0;0.0;7.92;10.08;0.0;0.0;0.0;31.52;8.8;3.06;96.45;26.0
Macon;Vin blanc;191.3;139.82;0.0;0.0;0.0;11.35;6.92;0.0;0.0;4.5;28.71;15.0;11.27;323.56;42.0
Pontarlier Anis;Apéritif;31.0;5.95;1.04;0.0;0.0;1.63;0.0;0.0;0.0;0.0;22.38;72.2;18.31;409.78;190.0
Soho Litchi;Liqueur;52.5;0.0;23.31;0.0;0.0;9.79;0.0;0.0;0.0;0.7;18.7;35.6;14.43;269.84;
Cidre Doux;Cidre;126.0;107.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.37;14.6;3.57;65.58;21.33
Vodka;Spiritueux;32.9;0.0;10.65;0.0;0.0;4.47;0.0;0.0;0.0;0.7;17.08;51.9;13.69;233.83;
Crémant du Jura;Effervescent;675.0;106.9;272.74;0.0;272.02;0.0;0.0;0.0;0.0;6.75;16.59;2.5;11.0;182.49;32.5
Hautes Côtes de Nuits blanc;Vin blanc;18.0;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.75;87.5;16.29;256.57;52.67
Champagne;Effervescent;29.2;5.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.75;14.29;48.9;50.63;723.5;
Liqueur de Sapin;Liqueur;17.2;2.2;1.04;0.0;0.0;0.88;0.0;0.0;0.0;0.0;13.08;76.0;21.35;279.26;130.0
Rosé Le Pive;Rosé;49.4;26.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.5;12.65;25.6;8.59;108.66;38.67
Liqueur de Poire;Liqueur;16.8;1.36;0.0;4.07;0.0;0.27;0.0;0.0;0.0;0.0;11.1;66.1;24.36;270.4;162.5
Grand Pavois;Vin blanc;18.0;9.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.25;45.8;7.02;57.91;29.33
Get 27;Liqueur;12.0;3.32;0.0;0.0;0.0;0.66;0.0;0.0;0.0;0.7;7.32;61.0;15.89;116.31;130.0
Marc de Bourgogne;Eau-de-vie;9.8;0.2;0.0;2.1;0.0;0.05;0.0;0.0;0.0;0.7;6.75;68.9;29.35;198.11;130.0
Génépi;Liqueur;9.8;2.32;0.0;0.0;0.0;0.47;0.0;0.0;0.0;0.7;6.31;64.4;32.27;203.62;162.5
Côtes de Provence Rosé Minuty;Rosé;21.0;11.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.75;6.0;28.6;17.31;103.86;
Bailey's;Liqueur;22.4;1.32;0.0;15.28;0.0;0.26;0.0;0.0;0.0;0.7;4.84;21.6;19.28;93.32;130.0
Bohème Rosé (Le Pive);Rosé;18.7;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7;19.8;10.68;39.52;38.67
Eau de Vie Mirabelle;Eau-de-vie;5.6;1.12;0.0;0.0;0.0;0.22;0.0;0.0;0.0;0.7;3.56;63.6;28.86;102.74;162.5
Vin de Paille;Vin (couleur non précisée);36.4;24.87;0.0;0.0;0.0;5.87;0.0;0.0;0.0;3.0;2.66;7.3;48.23;128.29;100.0
Cognac;Eau-de-vie;4.9;0.92;0.0;0.0;0.0;0.19;0.0;0.0;0.0;1.4;2.39;48.8;29.01;69.33;130.0
