exercice;periode_menu;date;heure;no_ticket;no_z;id_ticket;ref_produit;menu;quantite;prix_unitaire_ttc;prix_catalogue_attendus;prix_nominal_periode;ecart_vs_nominal;montant_ligne_ttc;statut;motif
2022-2023;C (29/03/2021-23/07/2022);2022-04-21;12:59;17;2944;46867;0196;Menu 'Demi Lune';2.0;15.2;45.0;45.0;-29.8;30.4;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-04-21;19:19;23;2944;46880;0196;Menu 'Demi Lune';1.0;49.2;45.0;45.0;4.2;49.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-04-28;20:28;30;2949;47068;0196;Menu 'Demi Lune';1.0;31.7;45.0;45.0;-13.3;31.7;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-05-04;19:46;16;2952;47169;0196;Menu 'Demi Lune';1.0;47.1;45.0;45.0;2.1;47.1;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-05-04;19:47;17;2952;47170;0196;Menu 'Demi Lune';1.0;30.0;45.0;45.0;-15.0;30.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-05-06;11:51;5;2954;47208;0196;Menu 'Demi Lune';2.0;27.2;45.0;45.0;-17.8;54.4;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-05-06;12:13;8;2954;47218;0196;Menu 'Demi Lune';1.0;40.9;45.0;45.0;-4.1;40.9;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-05-06;12:14;9;2954;47219;0196;Menu 'Demi Lune';1.0;20.0;45.0;45.0;-25.0;20.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-06-12;18:52;17;2982;48313;0196;Menu 'Demi Lune';2.0;32.65;45.0;45.0;-12.35;65.3;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-06-29;19:51;26;2993;48729;2036;Menu Bourguignon;1.0;24.0;32.0/34.0;32.0;-8.0;24.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-07-08;09:38;1;3000;48971;0196;Menu 'Demi Lune';2.0;85.0;45.0;45.0;40.0;170.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-07-09;12:16;8;3001;49017;0196;Menu 'Demi Lune';4.0;35.25;45.0;45.0;-9.75;141.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-07-12;12:02;9;3003;49146;0196;Menu 'Demi Lune';5.0;37.42;45.0;45.0;-7.58;187.1;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-07-20;12:38;8;3010;49446;0196;Menu 'Demi Lune';1.0;39.8;45.0;45.0;-5.2;39.8;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-07-21;12:03;8;3011;49472;0196;Menu 'Demi Lune';2.0;38.3;45.0;45.0;-6.7;76.6;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;C (29/03/2021-23/07/2022);2022-07-21;13:16;17;3011;49478;0196;Menu 'Demi Lune';2.0;20.0;45.0;45.0;-25.0;40.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-07-29;13:02;16;3018;49767;0196;Menu 'Demi Lune';2.0;54.1;45.0;45.0;9.1;108.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-08-03;11:02;1;3022;49928;0196;Menu 'Demi Lune';1.0;15.9;45.0;45.0;-29.1;15.9;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-08-09;12:14;11;3027;50145;0196;Menu 'Demi Lune';2.0;22.8;45.0;45.0;-22.2;45.6;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-08-17;11:52;3;3034;50432;0196;Menu 'Demi Lune';1.0;32.6;45.0;45.0;-12.4;32.6;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-08-19;11:33;1;3036;50508;1930;Menu du Dahu;2.0;34.9;29.9;29.9;5.0;69.8;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-08-25;12:02;6;3040;50675;0196;Menu 'Demi Lune';2.0;21.9;45.0;45.0;-23.1;43.8;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-09-09;12:08;3;3052;51162;0196;Menu 'Demi Lune';2.0;38.45;45.0;45.0;-6.55;76.9;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-09-09;12:23;8;3052;51158;0196;Menu 'Demi Lune';4.0;51.75;45.0;45.0;6.75;207.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-10-13;12:14;3;3076;51968;0196;Menu 'Demi Lune';6.0;31.05;45.0;45.0;-13.95;186.3;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-10-29;19:35;22;3088;52328;0196;Menu 'Demi Lune';2.0;50.0;45.0;45.0;5.0;100.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-11-03;19:23;21;3091;52502;0196;Menu 'Demi Lune';2.0;50.0;45.0;45.0;5.0;100.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-11-16;12:55;10;3100;52729;1930;Menu du Dahu;1.0;38.9;29.9;29.9;9.0;38.9;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-11-16;12:56;11;3100;52722;1930;Menu du Dahu;1.0;38.9;29.9;29.9;9.0;38.9;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2022-12-15;16:55;8;3116;53031;0196;Menu 'Demi Lune';2.0;50.0;45.0;45.0;5.0;100.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2023-01-05;12:22;5;3128;53274;0196;Menu 'Demi Lune';2.0;41.1;45.0;45.0;-3.9;82.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2023-01-05;12:24;7;3128;53273;0196;Menu 'Demi Lune';2.0;39.2;45.0;45.0;-5.8;78.4;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2023-02-26;12:56;10;3135;53428;0196;Menu 'Demi Lune';2.0;42.2;45.0;45.0;-2.8;84.4;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2023-03-12;12:19;5;3145;53639;2037;Menu Franc-Comtois;1.0;0.0;32.0/34.0;34.0;-34.0;0.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2023-03-15;20:09;5;3146;53657;0196;Menu 'Demi Lune';1.0;50.0;45.0;45.0;5.0;50.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2023-03-22;20:37;12;3151;53757;0196;Menu 'Demi Lune';2.0;64.0;45.0;45.0;19.0;128.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2022-2023;B (23/07/2022-17/04/2023);2023-03-22;20:37;12;3151;53757;0196;Menu 'Demi Lune';1.0;66.3;45.0;45.0;21.3;66.3;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2023-2024;B (23/07/2022-17/04/2023);2023-04-16;19:27;13;3170;54186;0196;Menu 'Demi Lune';1.0;25.0;45.0;45.0;-20.0;25.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2023-2024;A (17/04/2023-17/07/2025);2023-04-22;20:38;17;3174;54304;0196;Menu 'Demi Lune';4.0;42.5;45.0;45.0;-2.5;170.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2023-2024;A (17/04/2023-17/07/2025);2023-05-04;19:43;18;3182;54517;0196;Menu 'Demi Lune';1.0;20.0;45.0;45.0;-25.0;20.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2023-2024;A (17/04/2023-17/07/2025);2023-05-04;19:43;19;3182;54516;0196;Menu 'Demi Lune';1.0;20.0;45.0;45.0;-25.0;20.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2023-2024;A (17/04/2023-17/07/2025);2023-05-04;19:45;20;3182;54519;0196;Menu 'Demi Lune';1.0;19.35;45.0;45.0;-25.65;19.35;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2023-2024;A (17/04/2023-17/07/2025);2023-05-04;19:45;21;3182;54507;0196;Menu 'Demi Lune';1.0;19.35;45.0;45.0;-25.65;19.35;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2023-2024;A (17/04/2023-17/07/2025);2023-05-10;18:56;12;3186;54632;0196;Menu 'Demi Lune';1.0;38.0;45.0;45.0;-7.0;38.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2023-2024;A (17/04/2023-17/07/2025);2023-05-11;12:49;14;3187;54649;0196;Menu 'Demi Lune';3.0;32.7;45.0;45.0;-12.3;98.1;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2023-2024;A (17/04/2023-17/07/2025);2023-05-11;12:51;15;3187;54656;2037;Menu Franc-Comtois;7.0;25.2;32.0/34.0;34.0;-8.8;176.4;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
