libelle_caisse;format_service;volume_cl;nom_canonique;categorie;nom_inventaire;nom_facture;flag
"""Champagne Brut """;Bouteille;75;Champagne;petillant;Champagne Jean Sandrin 75cl;CHAMPAGNE JEAN SANDRIN 75 CL / CHAMPAGNE LANSON 75 CL;Jean Sandrin OU Lanson selon stock
1/2 Arbois Béthanie;Demi-bouteille;37.5;Arbois Béthanie;vin_blanc;Arbois Béthanie 75cl;ARBOIS BETHANIE 75 CL / 37,5 CL;
Alsace Gewurztramine;Bouteille;75;Gewurztraminer;vin_blanc;Gewurztraminer 75cl;GEWURZTRAMINER 75 CL (Les Sorcières);
Ambrée;Bouteille 33cl;33;Rouget de Lisle Ambrée 33cl;biere;Rouget de Lisle Ambrée 33cl;LA ROUGET AMBREE 33 CL VP;
Arbois Béthanie;Bouteille;75;Arbois Béthanie;vin_blanc;Arbois Béthanie 75cl;ARBOIS BETHANIE 75 CL / 37,5 CL;
Arbois Chardonnay Le;Verre;15;Arbois Chardonnay;vin_blanc;Arbois Chardonnay 75cl;ARBOIS CHARDONNAY 75 CL (J-L Tissot);
Arbois Savagnin;Bouteille;75;Arbois Savagnin;vin_blanc;Arbois Savagnin 75cl;ARBOIS SAVAGNIN 75 CL;Servi aussi en pichet 50cl (depuis bouteille 75cl)
Arbois Trousseau Bou;Bouteille;75;Arbois Trousseau;vin_rouge;Arbois Trousseau 75cl;ARBOIS TROUSSEAU 75 CL (J-L Tissot);
Arbois Trousseau Le;Verre;15;Arbois Trousseau;vin_rouge;Arbois Trousseau 75cl;ARBOIS TROUSSEAU 75 CL (J-L Tissot);
BAILEYS;Verre;4;Bailey's;liqueur;Bailey's 70cl;BAILEY'S 70 CL;
BORD.  MOUTON CADET;Bouteille;75;Bordeaux Supérieur;vin_rouge;Bordeaux Supérieur 75cl;BORDEAUX SUPERIEUR 75 CL (Château Grand Renom);Libellé caisse 'Mouton Cadet' = Bordeaux Supérieur (confirmé)
Baileys;Verre;4;Bailey's;liqueur;Bailey's 70cl;BAILEY'S 70 CL;
Beaujolais Moulin à;Verre;15;Moulin à Vent;vin_rouge;Moulin à Vent 75cl;MOULIN A VENT 75 CL;
Blanche des plateaux;Bouteille 33cl;33;Rouget de Lisle Blanche 33cl;biere;Rouget de Lisle Blanche 33cl;LA ROUGET BLANCHE 33 CL VP;
Bohème;Bouteille;75;Bohème Rosé (Le Pive);vin_rose;Bohème Rosé (Le Pive) 75cl;ROSE DOM LE PIVE 75 CL;
C du  Rhone St Josep;Verre;15;Saint Joseph Rouge;vin_rouge;Saint Joseph Rouge 75cl;SAINT JOSEPH ROUGE 75 CL (Ogier);
C du Rhone St  Josep;Bouteille;75;Saint Joseph Rouge;vin_rouge;Saint Joseph Rouge 75cl;SAINT JOSEPH ROUGE 75 CL (Ogier);
Calvados;Verre;4;Calvados;eau_de_vie;Calvados 100cl;CALVADOS BEAUJOUR 100 CL 40°;
Calvados (4cl);Verre;4;Calvados;eau_de_vie;Calvados 100cl;CALVADOS BEAUJOUR 100 CL 40°;
Chablis;Bouteille;75;Chablis;vin_blanc;Chablis 75cl;CHABLIS 75 CL;
Chablis Le Verre;Verre;15;Chablis;vin_blanc;Chablis 75cl;CHABLIS 75 CL;
Champagne;Verre;12;Champagne;petillant;Champagne Jean Sandrin 75cl;CHAMPAGNE JEAN SANDRIN 75 CL / CHAMPAGNE LANSON 75 CL;Jean Sandrin OU Lanson selon stock
Chateau Minuty;Bouteille;75;Côtes de Provence Rosé Minuty;vin_rose;Côtes de Provence Rosé Minuty 75cl;COTES DE PROVENCE ROSE 75 CL (M de Minuty);
Cidre Bouché Brut;Bouteille;75;Cidre Brut;cidre;Cidre Brut 75cl;CIDRE BRUT 75 CL;
Cidre Bouché Doux;Bouteille;75;Cidre Doux;cidre;Cidre Doux 75cl;CIDRE DOUX 75 CL;
Clair de Rosé;Bouteille;75;Rosé Les Jamelles (Clair de Rosé);vin_rose;Rosé Les Jamelles 75cl;ROSE GRENACHE JAMELLES 75 CL (Clair de Rosé);
Cognac (4cl);Verre;4;Cognac;eau_de_vie;Cognac 70cl;COGNAC PARK 70 CL;
Crémant;Verre;10;Crémant du Jura;petillant;Crémant du Jura 75cl;CREMANT DU JURA 75 CL (Arbois);
Crémant Rosé;Bouteille;75;Crémant du Jura;petillant;Crémant du Jura 75cl;CREMANT DU JURA 75 CL (Arbois);
Crémant du Jura;Bouteille;75;Crémant du Jura;petillant;Crémant du Jura 75cl;CREMANT DU JURA 75 CL (Arbois);
Crément / Jura VERRE;Verre;10;Crémant du Jura;petillant;Crémant du Jura 75cl;CREMANT DU JURA 75 CL (Arbois);
Crément du Jura;Bouteille;75;Crémant du Jura;petillant;Crémant du Jura 75cl;CREMANT DU JURA 75 CL (Arbois);
DOMAINE LE PIVE;Bouteille;75;Rosé Le Pive;vin_rose;Rosé Le Pive 75cl;ROSE DOM LE PIVE 75 CL;
Eau de Vie de Poire;Verre;4;Eau de Vie de Poire;eau_de_vie;Eau de Vie de Poire 70cl;EAU DE VIE DE POIRE 70 CL;
Eau de vie Framboise;Verre;4;Eau de Vie Framboise;eau_de_vie;Eau de Vie Framboise 70cl;EAU DE VIE FRAMBOISE 70 CL;
Eau de vie Mirabelle;Verre;4;Eau de Vie Mirabelle;eau_de_vie;Eau de Vie Mirabelle 70cl;EAU DE VIE MIRABELLE 70 CL;
GASCOGNE Gd PAVOIS;Bouteille;75;Grand Pavois;vin_blanc;Grand Pavois 75cl;GRAND PAVOIS N°8 BLANC 75 CL;
GRAND MARNIER;Verre;4;Grand Marnier;liqueur;Grand Marnier 70cl;GRAND MARNIER CORDON ROUGE 70 CL 40°;
Get 27 (4cl);Verre;4;Get 27;liqueur;Get 27 70cl;GET 27 70 CL;
Get 31;Verre;4;Get 31;liqueur;Get 31 70cl;GET 31 70 CL;
Gewurztraminer Le ve;Verre;15;Gewurztraminer;vin_blanc;Gewurztraminer 75cl;GEWURZTRAMINER 75 CL (Les Sorcières);
Grand Marnier;Verre;4;Grand Marnier;liqueur;Grand Marnier 70cl;GRAND MARNIER CORDON ROUGE 70 CL 40°;
Guignolet;Verre;4;Guignolet;liqueur;Liqueur de Cerise 70cl;LIQUEUR DE CERISE 70 CL;Guignolet (cerise) rattaché à Liqueur de Cerise - 1 unité
Génépi;Verre;4;Génépi;liqueur;Génépi 70cl;GENEPI 70 CL;
H.C.B BEAUNE BTL;Bouteille;75;Hautes Côtes de Beaune rouge;vin_rouge;Hautes Côtes de Beaune 75cl;HTES COTES DE BEAUNE RGE 75 CL (Domaine Germain);
H.C.BEAUNE BOUTEILLE;Bouteille;75;Hautes Côtes de Beaune rouge;vin_rouge;Hautes Côtes de Beaune 75cl;HTES COTES DE BEAUNE RGE 75 CL (Domaine Germain);
H.C.DE BEAUNE  VERRE;Verre;15;Hautes Côtes de Beaune rouge;vin_rouge;Hautes Côtes de Beaune 75cl;HTES COTES DE BEAUNE RGE 75 CL (Domaine Germain);
H.COTES DE NUITS;Bouteille;75;Hautes Côtes de Nuits blanc;vin_blanc;—;HTES CTES DE NUITS BLANC 75 CL (Lupé Cholet);ABSENT de l'inventaire (présent en facture) - distinct de Beaune
Jack Daniel's;Verre;4;Jack Daniel's;spiritueux;Jack Daniel's 70cl;JACK DANIEL'S 70 CL;
