section_caisse;libelle_caisse;format_service;volume_cl;nom_inventaire_propose;flag
Bières;Ambrée;Bouteille;75;Rouget de Lisle Ambrée 33cl;
Bières;Blanche des plateaux;Bouteille;75;Rouget de Lisle Blanche 33cl;
Bières;Monaco;Bouteille;75;Fût Affligem 8L;
Bières;Panaché;Bouteille;75;Fût Affligem 8L;
Bières;Picon bière;Pichet 50cl;50;Fût Affligem 8L;
Bières;Pinte;Pichet 50cl;50;Fût Affligem 8L;
Bières;Pinte Picon;Pichet 50cl;50;Fût Affligem 8L;
Bières;pression;Bouteille;75;Fût Affligem 8L;
Digestifs :;BAILEYS;Bouteille;75;Bailey's 70cl;
Digestifs :;Baileys;Bouteille;75;Bailey's 70cl;
Digestifs :;Calvados;Bouteille;75;Calvados 100cl;
Digestifs :;Calvados (4cl);Bouteille;75;Calvados 100cl;
Digestifs :;Cognac (4cl);Bouteille;75;Cognac 70cl;
Digestifs :;Eau de Vie de Poire;Bouteille;75;Eau de Vie de Poire 70cl;
Digestifs :;Eau de vie Framboise;Bouteille;75;Eau de Vie Framboise 70cl;
Digestifs :;Eau de vie Mirabelle;Bouteille;75;Eau de Vie Mirabelle 70cl;
Digestifs :;Get 27 (4cl);Bouteille;75;Get 27 70cl;
Digestifs :;Get 31;Bouteille;75;Get 31 70cl;
Digestifs :;Grand Marnier;Bouteille;75;Grand Marnier 70cl;
Digestifs :;Génépi;Bouteille;75;Génépi 70cl;
Digestifs :;Liqueur de Poire;Bouteille;75;Liqueur de Poire 70cl;
Digestifs :;Liqueur de Sapin;Bouteille;75;Liqueur de Sapin 70cl;
Digestifs :;Marc du Jura (4cl);Bouteille;75;Marc du Jura 70cl;
Digestifs :;TEQUILA;Bouteille;75;???;VRAI MANQUE
Digestifs :;Vieux Marc Bourgogne;Bouteille;75;Marc de Bourgogne 70cl;
Pétillants :;"""Champagne Brut """;Bouteille;75;???;VRAI MANQUE
Pétillants :;Champagne;Bouteille;75;???;VRAI MANQUE
Pétillants :;Cidre Bouché Brut;Bouteille;75;Cidre Brut 75cl;
Pétillants :;Cidre Bouché Doux;Bouteille;75;Cidre Doux 75cl;
Pétillants :;Crémant;Bouteille;75;Crémant du Jura 75cl;
Pétillants :;Crémant Rosé;Bouteille;75;Crémant du Jura 75cl;
